States and Provinces,,"Revised June 23, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#isocode,Location,Expenditures-Academic,Expenditures-Academic-Source,Expenditures-Academic-Year,Expenditures-National,Expenditures-National-Source,Expenditures-National-Year,Expenditures-Public,Expenditures-Public-Source,Expenditures-Public-Year,Expenditures-School,Expenditures-School-Source,Expenditures-School-Year,Expenditures-Special,Expenditures-Special-Source,Expenditures-Special-Year,Librarians-Academic,Librarians-Academic-Source,Librarians-Academic-Year,Librarians-National,Librarians-National-Source,Librarians-National-Year,Librarians-Public,Librarians-Public-Source,Librarians-Public-Year,Librarians-School,Librarians-School-Source,Librarians-School-Year,Librarians-Special,Librarians-Special-Source,Librarians-Special-Year,Libraries-Academic,Libraries-Academic-Source,Libraries-Academic-Year,Libraries-National,Libraries-National-Source,Libraries-National-Year,Libraries-Public,Libraries-Public-Source,Libraries-Public-Year,Libraries-School,Libraries-School-Source,Libraries-School-Year,Libraries-Special,Libraries-Special-Source,Libraries-Special-Year,Library Schools,Library Schools-Source,Library Schools-Year,Users-Academic,Users-Academic-Source,Users-Academic-Year,Users-National,Users-National-Source,Users-National-Year,Users-Public,Users-Public-Source,Users-Public-Year,Users-School,Users-School-Source,Users-School-Year,Users-Special,Users-Special-Source,Users-Special-Year,Volumes-Academic,Volumes-Academic-Source,Volumes-Academic-Year,Volumes-National,Volumes-National-Source,Volumes-National-Year,Volumes-Public,Volumes-Public-Source,Volumes-Public-Year,Volumes-School,Volumes-School-Source,Volumes-School-Year,Volumes-Special,Volumes-Special-Source,Volumes-Special-Year,Publishers,Publishers-Source,Publishers-Year,Museums,Museums-Source,Museums-Year,Notes,oclcdat,oclcSource,oclcYear,lang1,pct1,lang2,pct2,lang3,pct3,lang4,pct4,lang5,pct5,lang6,pct6,lang7,pct7,lang8,pct8,lang9,pct9,lang10,pct10,lang11,pct11,lang12,pct12
US-KY,Kentucky,84958989 ,33 ,2012 ,NA,,,134481103 ,34 ,2013 ,NA,,,NA,,,393,33,2012,NA,,,1158.9,34,2013,NA,,,NA,,,65,33,2012,NA,,,119,34,2013,1222,35,2000,68,56,2016,1,57,2016,NA,,,NA,,,2575787,34,2013,NA,,,NA,,,15471380,33,2012,NA,,,8878375,34,2013,NA,,,1631181,56,2012,39,47,2012,466,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-LA,Louisiana,78519819 ,33 ,2012 ,NA,,,191218472 ,34 ,2013 ,NA,,,NA,,,346,33,2012,NA,,,1043.07,34,2013,NA,,,NA,,,51,33,2012,NA,,,68,34,2013,1269,35,2000,70,56,2016,1,57,2016,NA,,,NA,,,2450520,34,2013,NA,,,NA,,,18692657,33,2012,NA,,,11649410,34,2013,NA,,,1229512,56,2012,9,47,2012,395,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-MA,Massachusetts,396042487 ,33 ,2012 ,NA,,,283250627 ,34 ,2013 ,NA,,,NA,,,1433,33,2012,NA,,,1790.71,34,2013,NA,,,NA,,,117,33,2012,NA,,,370,34,2013,1609,35,2000,273,56,2016,1,57,2016,NA,,,NA,,,3336872,34,2013,NA,,,NA,,,50561808,33,2012,NA,,,32124590,34,2013,NA,,,6838242,56,2012,196,47,2012,1028,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-MD,Maryland,144374042 ,33 ,2012 ,NA,,,254954316 ,34 ,2013 ,NA,,,NA,,,482,33,2012,NA,,,1308.54,34,2013,NA,,,NA,,,54,33,2012,NA,,,14,34,2013,1226,35,2000,182,56,2016,1,57,2016,NA,,,NA,,,3369292,34,2013,NA,,,NA,,,16950601,33,2012,NA,,,12926952,34,2013,NA,,,9042992,56,2012,155,47,2012,618,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-ME,Maine,33063218 ,33 ,2012 ,NA,,,43312730 ,34 ,2013 ,NA,,,NA,,,137,33,2012,NA,,,338.87,34,2013,NA,,,NA,,,28,33,2012,NA,,,266,34,2013,621,35,2000,57,56,2016,0,57,2016,NA,,,NA,,,761020,34,2013,NA,,,NA,,,5147646,33,2012,NA,,,6404097,34,2013,NA,,,693874,56,2012,25,47,2012,521,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-MI,Michigan,234820127 ,33 ,2012 ,NA,,,369819105 ,34 ,2013 ,NA,,,NA,,,835,33,2012,NA,,,1786.15,34,2013,NA,,,NA,,,87,33,2012,NA,,,384,34,2013,2942,35,2000,179,56,2016,2,57,2016,NA,,,NA,,,5014084,34,2013,NA,,,NA,,,38414322,33,2012,NA,,,33410694,34,2013,NA,,,1400385,56,2012,91,47,2012,1039,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-MN,Minnesota,126307748 ,33 ,2012 ,NA,,,200649274 ,34 ,2013 ,NA,,,NA,,,521,33,2012,NA,,,741.38,34,2013,NA,,,NA,,,88,33,2012,NA,,,128,34,2013,1483,35,2000,155,56,2016,1,57,2016,NA,,,NA,,,4258248,34,2013,NA,,,NA,,,19322145,33,2012,NA,,,14779421,34,2013,NA,,,2131237,56,2012,133,47,2012,681,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-MO,Missouri,129753880 ,33 ,2012 ,NA,,,209002003 ,34 ,2013 ,NA,,,NA,,,556,33,2012,NA,,,823.13,34,2013,NA,,,NA,,,105,33,2012,NA,,,140,34,2013,1906,35,2000,154,56,2016,1,57,2016,NA,,,NA,,,3323762,34,2013,NA,,,NA,,,21033484,33,2012,NA,,,17194119,34,2013,NA,,,2703938,56,2012,57,47,2012,742,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-MS,Mississippi,57315683 ,33 ,2012 ,NA,,,48942944 ,34 ,2013 ,NA,,,NA,,,248,33,2012,NA,,,684.13,34,2013,NA,,,NA,,,38,33,2012,NA,,,49,34,2013,859,35,2000,38,56,2016,1,57,2016,NA,,,NA,,,1557245,34,2013,NA,,,NA,,,8988446,33,2012,NA,,,5686530,34,2013,NA,,,1457291,56,2012,5,47,2012,247,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US-MT,Montana,20913505 ,33 ,2012 ,NA,,,23931236 ,34 ,2013 ,NA,,,NA,,,74,33,2012,NA,,,184.33,34,2013,NA,,,NA,,,22,33,2012,NA,,,82,34,2013,745,35,2000,38,56,2016,0,57,2016,NA,,,NA,,,482214,34,2013,NA,,,NA,,,3390993,33,2012,NA,,,2630100,34,2013,NA,,,438594,56,2012,12,47,2012,270,79,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
